ra,dec,type,const,mag,name,rarad,decrad,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
0.114278,8.35139,Gxy,Psc,15.8,,0.0299179,0.145759,55,0.4,0.3,175,2,7837,NGC,,,,,
0.114972,8.35111,Gxy,Psc,14.6,,0.0300997,0.145754,56,0.9,0.6,90,2,7838,NGC,,,,,
0.116833,27.6356,**,Peg,,,0.0305869,0.482331,57,,,,2,7839,NGC,,,,,
0.119139,8.38194,Gxy,Psc,15.2,,0.0311905,0.146293,58,0.4,0.3,125,2,7840,NGC,,,,,
0.121083,27.7089,Gxy,Peg,12.7,,0.0316995,0.483611,59,1.6,1.2,120,2,1,NGC,,,,,
0.121444,27.6794,Gxy,Peg,14,,0.0317941,0.483097,60,1,0.6,115,2,2,NGC,,,,,
0.121306,8.30139,Gxy,Psc,13.5,,0.0317577,0.144887,61,1.1,0.6,113,2,3,NGC,,,,,
0.122083,32.6094,Gxy,And,13,,0.0319613,0.569142,62,1.7,0.4,38,2,7831,NGC,,,,,
0.121667,32.6167,Gxy,And,,,0.0318523,0.569268,63,1.8,,,1,1530,IC,,,7831,NGC,
0.123444,8.37278,Gxy,Psc,15.9,,0.0323177,0.146133,64,0.6,0.3,35,2,4,NGC,,,,,
0.130222,35.3622,Gxy,And,13.4,,0.0340921,0.617187,65,1.2,0.7,115,2,5,NGC,,,,,
0.133778,33.0708,Gxy,And,13.8,,0.0350229,0.577195,66,0.9,0.5,133,2,7836,NGC,,,,,
0.159111,33.3094,Gxy,And,13.1,,0.0416552,0.58136,67,1.7,1.5,140,2,6,NGC,,,,,
0.139111,-29.9153,Gxy,Scl,13.4,,0.0364192,-0.52212,68,2.2,0.5,29,2,7,NGC,,,,,
0.14,27.7167,**,Peg,,,0.0366519,0.483747,69,,,,1,1,IC,,,,,
0.142944,-33.8556,Gxy,Scl,12.5,,0.0374228,-0.590891,70,2.4,1.2,25,2,10,NGC,,,,,
0.145111,37.4478,Gxy,And,13.9,,0.03799,0.653587,71,1.5,0.3,111,2,11,NGC,,,,,
0.145778,4.61306,Gxy,Psc,13.5,,0.0381645,0.080513,72,1.7,1.5,125,2,12,NGC,,,,,
0.1459,23.8384,Gxy,Peg,16.96,,0.0381965,0.416059,73,0.31,0.19,84,3,8,NGC,,,,,
0.146667,33.4342,Gxy,And,13.4,,0.0383972,0.583536,74,2.5,0.6,53,2,13,NGC,,,,,
0.146194,15.8156,Gxy,Peg,12.5,,0.0382736,0.276034,75,2.8,2.1,25,2,14,NGC,,,,,
0.148528,23.8178,Gxy,Peg,13.8,,0.0388845,0.415699,76,1.3,0.7,155,2,9,NGC,,,,,
0.150667,21.6244,Gxy,Peg,14,,0.0394444,0.377418,77,1.2,0.7,30,2,15,NGC,,,,,
0.151278,27.7306,Gxy,Peg,11.8,,0.0396044,0.48399,78,1.8,1,16,2,16,NGC,,,,,
0.156389,27.7322,**,Peg,,,0.0409425,0.484019,79,,,,2,18,NGC,,,,,
0.178028,32.9828,Gxy,And,13.3,,0.0466076,0.575658,80,1.1,0.6,42,2,19,NGC,,,,,
0.159111,33.3094,Gxy,And,13.1,,0.0416552,0.58136,81,1.5,1.5,140,2,20,NGC,,,6,NGC,
0.15987,-32.277,Gxy,Scl,13.49,,0.0418539,-0.563339,82,1.91,1.32,124.4,3,1531,IC,,,,,
0.163361,27.8325,Gxy,Peg,13.8,,0.0427678,0.485769,83,1.7,1.3,160,2,22,NGC,,,,,
0.164833,25.9236,Gxy,Peg,11.9,,0.0431533,0.452452,84,2.1,1.3,8,2,23,NGC,,,,,
0.165639,-24.9636,Gxy,Scl,11.5,,0.0433642,-0.435697,85,5.8,1.3,46,2,24,NGC,,,,,
0.166444,-57.0211,Gxy,Phe,13.1,,0.0435751,-0.995206,86,1.4,0.8,88,2,25,NGC,,,,,
0.16464,-64.3716,Gxy,Tuc,14.77,,0.0431027,-1.1235,87,1.82,0.54,73.5,3,1532,IC,,,,,
0.173694,-56.9892,Gxy,Phe,13.8,,0.0454731,-0.994649,88,1.5,1.3,5,2,28,NGC,,,,,
0.173861,25.8308,Gxy,Peg,12.9,,0.0455167,0.450833,89,1.9,1.4,100,2,26,NGC,,,,,
0.175806,28.9972,Gxy,And,13.7,,0.0460258,0.506097,90,1.2,0.5,117,2,27,NGC,,,,,
0.177361,-56.9864,Gxy,Phe,14.1,,0.046433,-0.9946,91,1.1,0.6,3,2,31,NGC,,,,,
0.176667,-7.41667,,Cet,,,0.0462512,-0.129445,92,,,,1,1533,IC,,,,,
0.179694,33.3528,Gxy,And,12.9,,0.0470439,0.582116,93,1.6,0.7,154,2,21,NGC,,,29,NGC,
0.179694,33.3528,Gxy,And,12.9,,0.0470439,0.582116,94,1.7,0.8,154,2,29,NGC,,,,,
0.18075,21.9769,**,Peg,,,0.0473202,0.38357,95,,,,2,30,NGC,,,,,
0.181528,18.7958,*,Peg,,,0.0475239,0.328049,96,,,,2,32,NGC,,,,,
0.182389,3.67583,**,Psc,,,0.0477493,0.0641554,97,,,,2,33,NGC,,,,,
0.185167,-12.1072,Gxy,Cet,14.4,,0.0484765,-0.211311,98,0.4,0.3,30,2,17,NGC,,,34,NGC,
0.18356,-12.8224,Gxy,Cet,15.46,,0.0480559,-0.223793,99,0.98,0.32,141.8,3,2,IC,,,,,
0.185167,-12.1072,Gxy,Cet,14.4,,0.0484765,-0.211311,100,2.2,0.8,,2,34,NGC,,,,,
0.186167,-12.0208,Gxy,Cet,14.2,,0.0487383,-0.209803,101,0.7,0.5,135,2,35,NGC,,,,,
0.189694,-56.9572,Gxy,Phe,13.8,,0.0496619,-0.994091,102,1.1,0.7,35,2,37,NGC,,,,,
0.189528,6.38917,Gxy,Psc,13.4,,0.0496183,0.111512,103,2.2,1.3,21,2,36,NGC,,,,,
0.196389,-5.58694,Gxy,Psc,13.3,,0.0514145,-0.0975106,104,1.3,1.3,,2,38,NGC,,,,,
0.20169,-0.41525,Gxy,Psc,14.86,,0.0528023,-0.00724748,105,0.93,0.67,52.1,3,3,IC,,,,,
