ra,dec,type,const,mag,name,rarad,decrad,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
22.0764,-10.9111,Gxy,-,15.93,,5.77958,-0.190435,174610,0.87,0.25,117,3,191229,PGC,,,,,
1.78771,0.9633,Gxy,-,15.99,,0.468021,0.0168128,174611,0.68,0.62,,3,3092470,PGC,,,,,
22.0254,-16.887,Gxy,-,15.94,,5.76625,-0.294734,174612,0.56,0.49,113,3,191120,PGC,,,,,
22.0179,-14.7074,Gxy,-,15.98,,5.76426,-0.256693,174613,0.63,0.38,92,3,191074,PGC,,,,,
21.9707,-21.8374,Gxy,-,15.96,,5.75192,-0.381134,174614,0.83,0.23,136.7,3,190934,PGC,,,,,
21.9709,-13.3467,Gxy,-,15.99,,5.75197,-0.232943,174615,0.51,0.34,106,3,190936,PGC,,,,,
21.9617,-16.3807,Gxy,-,15.69,,5.74956,-0.285897,174616,0.72,0.42,174.5,3,190830,PGC,,,,,
21.9632,-12.7762,Gxy,-,15.44,,5.74995,-0.222988,174617,0.76,0.46,153,3,190847,PGC,,,,,
21.9636,-54.8778,Gxy,-,15.59,,5.75005,-0.957798,174618,0.68,0.37,86,3,190851,PGC,,,,,
21.9643,-54.8661,Gxy,-,15.98,,5.75023,-0.957594,174619,0.66,0.41,,3,190861,PGC,,,,,
21.9157,-16.3759,Gxy,-,15.38,,5.73752,-0.285814,174620,0.95,0.52,17.1,3,190746,PGC,,,,,
21.918,-9.58888,Gxy,-,15.96,,5.73812,-0.167358,174621,0.66,0.54,106,3,190757,PGC,,,,,
21.9212,-5.56309,Gxy,-,15.61,,5.73897,-0.0970942,174622,0.81,0.46,82.1,3,190767,PGC,,,,,
21.014,-2.98968,Gxy,-,15.73,,5.50145,-0.0521798,174623,,,,3,3092665,PGC,,,,,
21.8622,-4.90718,Gxy,-,14.91,,5.7235,-0.0856464,174624,0.95,0.56,93.5,3,190661,PGC,,,,,
21.863,-18.5786,Gxy,-,15.87,,5.72372,-0.324257,174625,0.66,0.52,60.6,3,190669,PGC,,,,,
21.856,-9.3866,Gxy,-,15.89,,5.72189,-0.163827,174626,0.78,0.33,141,3,190604,PGC,,,,,
9.41602,-6.0085,Gxy,-,15.5,,2.46511,-0.104868,174627,,,,3,3092834,PGC,,,,,
21.8452,-56.6628,Gxy,-,15.8,,5.71906,-0.988952,174628,0.48,0.42,80.8,3,190511,PGC,,,,,
21.8223,-39.9158,Gxy,-,15.79,,5.71305,-0.696663,174629,,,50,3,190318,PGC,,,,,
21.7624,-5.48255,Gxy,-,15.63,,5.69738,-0.0956885,174630,0.68,0.49,27.6,3,190056,PGC,,,,,
21.7907,-57.1064,Gxy,-,15.94,,5.70479,-0.996695,174631,0.56,0.41,134.5,3,190127,PGC,,,,,
21.7977,-16.796,Gxy,-,15.94,,5.70662,-0.293146,174632,0.66,0.22,81,3,190191,PGC,,,,,
21.2484,-7.40768,Gxy,-,15.69,,5.56282,-0.129288,174633,0.76,0.5,104.1,3,3093061,PGC,,,,,
21.7482,-5.11374,Gxy,-,15.92,,5.69368,-0.0892516,174634,0.89,0.25,55.4,3,189957,PGC,,,,,
21.6735,-2.40746,Gxy,-,15.76,,5.67411,-0.0420181,174635,0.66,0.52,178.2,3,189526,PGC,,,,,
23.0591,-7.20403,Gxy,-,15.55,,6.03687,-0.125734,174636,,,35,3,3093066,PGC,,,,,
5.39036,-8.3898,Gxy,-,15.99,,1.41119,-0.14643,174637,,,,3,3093093,PGC,,,,,
21.6792,-7.96866,Gxy,-,15.73,,5.67561,-0.139079,174638,0.72,0.56,113.3,3,189606,PGC,,,,,
16.3601,-8.88848,Gxy,-,15.61,,4.28306,-0.155133,174639,,,,3,3093135,PGC,,,,,
21.6707,-14.2315,Gxy,-,15.92,,5.67338,-0.248386,174640,0.66,0.59,65.2,3,189493,PGC,,,,,
21.6583,-51.3956,Gxy,-,15.62,,5.67013,-0.897023,174641,0.79,0.57,156.3,3,189336,PGC,,,,,
4.15207,-9.2366,Gxy,-,14.97,,1.08701,-0.161209,174642,,,,3,3093188,PGC,,,,,
21.6066,-3.97291,Gxy,-,15.98,,5.65659,-0.0693404,174643,0.58,0.53,,3,189119,PGC,,,,,
21.6077,-9.89043,Gxy,-,15.66,,5.65688,-0.172621,174644,0.76,0.65,50.5,3,189129,PGC,,,,,
21.6495,-15.8036,Gxy,-,15.56,,5.66782,-0.275826,174645,0.6,0.39,46.5,3,189262,PGC,,,,,
21.5112,-10.1891,Gxy,-,15.4,,5.63162,-0.177833,174646,0.74,0.6,10.3,3,188889,PGC,,,,,
21.513,-12.4995,Gxy,-,15.75,,5.6321,-0.218157,174647,0.69,0.36,156.1,3,188894,PGC,,,,,
21.5137,-10.7385,Gxy,-,15.95,,5.63226,-0.187423,174648,0.49,0.45,,3,188898,PGC,,,,,
21.5348,-46.0455,Gxy,-,15.1,,5.63779,-0.803646,174649,0.78,0.68,104.5,3,188973,PGC,,,,,
21.5089,-16.1213,Gxy,-,15.68,,5.63101,-0.28137,174650,,,125,3,188883,PGC,,,,,
14.8865,-11.1043,Gxy,-,15.41,,3.89729,-0.193806,174651,,,,3,3093377,PGC,,,,,
21.4776,-6.51114,Gxy,-,15.79,,5.62283,-0.113641,174652,0.72,0.67,,3,188701,PGC,,,,,
21.4947,-12.6772,Gxy,-,15.82,,5.6273,-0.221259,174653,0.6,0.39,43,3,188780,PGC,,,,,
21.4648,-11.3067,Gxy,-,15.81,,5.61947,-0.19734,174654,0.85,0.26,54.7,3,188646,PGC,,,,,
21.4685,-8.60228,Gxy,-,15.87,,5.62043,-0.150138,174655,0.56,0.47,117,3,188656,PGC,,,,,
21.4309,-33.7756,Gxy,-,15.61,,5.6106,-0.589495,174656,0.76,0.45,16.5,3,188548,PGC,,,,,
5.54339,-11.9972,Gxy,-,15.66,,1.45126,-0.209391,174657,,,,3,3093520,PGC,,,,,
21.2933,-45.3653,Gxy,-,15.89,,5.57457,-0.791774,174658,0.63,0.27,179.7,3,188463,PGC,,,,,
23.4628,-12.4843,Gxy,-,15.5,,6.14254,-0.217892,174659,,,,3,3093587,PGC,,,,,
21.2767,-6.5816,Gxy,-,15.71,,5.57022,-0.114871,174660,0.76,0.43,5.3,3,188275,PGC,,,,,
8.62121,-13.3596,Gxy,-,15.59,,2.25703,-0.23317,174661,,,,3,3093629,PGC,,,,,
21.2805,-4.49697,Gxy,-,15.68,,5.57123,-0.0784869,174662,0.78,0.47,163.4,3,188370,PGC,,,,,
21.0169,-15.4038,Gxy,-,15.21,,5.5022,-0.268846,174663,1.02,0.44,172.7,3,187855,PGC,,,,,
21.0172,-13.8791,Gxy,-,15.69,,5.50228,-0.242237,174664,0.65,0.33,10.7,3,187857,PGC,,,,,
21.0172,-14.5912,Gxy,-,15.97,,5.50229,-0.254664,174665,0.52,0.27,174,3,187858,PGC,,,,,
14.8334,-13.8664,Gxy,-,14.97,,3.88338,-0.242013,174666,,,,3,3093665,PGC,,,,,
21.0268,-22.108,Gxy,-,15.64,,5.50482,-0.385858,174667,0.81,0.55,26.5,3,187886,PGC,,,,,
21.0288,-14.6493,Gxy,-,15.53,,5.50533,-0.255679,174668,1.23,0.27,5.3,3,187888,PGC,,,,,
21.2021,-42.1399,Gxy,-,15.94,,5.55069,-0.735479,174669,0.85,0.25,23.7,3,187959,PGC,,,,,
23.3746,-13.1031,Gxy,-,15.44,,6.11946,-0.228692,174670,,,,3,3093684,PGC,,,,,
21.0069,-22.6027,Gxy,-,15.95,,5.49958,-0.394492,174671,0.71,0.59,87.5,3,187821,PGC,,,,,
21.0085,-25.822,Gxy,-,15.91,,5.50002,-0.45068,174672,0.55,0.37,9.5,3,187825,PGC,,,,,
21.0091,-19.6283,Gxy,-,15.77,,5.50016,-0.342579,174673,0.55,0.46,106,3,187828,PGC,,,,,
21.0098,-15.3502,Gxy,-,15.9,,5.50036,-0.267912,174674,0.59,0.42,60.4,3,187832,PGC,,,,,
21.0167,-13.2511,Gxy,-,15.41,,5.50217,-0.231275,174675,0.91,0.32,44.7,3,187852,PGC,,,,,
11.7508,-14.8862,Gxy,-,15.88,,3.07634,-0.259813,174676,,,,3,3093742,PGC,,,,,
11.7821,-14.9333,Gxy,-,15.98,,3.08455,-0.260635,174677,,,,3,3093743,PGC,,,,,
20.7195,-18.7656,Gxy,-,15.92,,5.42435,-0.327521,174678,0.85,0.49,1,3,187726,PGC,,,,,
20.7276,-17.0259,Gxy,-,15.97,,5.42646,-0.297159,174679,0.68,0.65,,3,187741,PGC,,,,,
21.0042,-14.4193,Gxy,-,15.7,,5.49888,-0.251664,174680,0.59,0.46,18.1,3,187816,PGC,,,,,
20.5111,-25.6027,Gxy,-,15.8,,5.36979,-0.446851,174681,,,75,3,187550,PGC,,,,,
20.561,-57.6083,Gxy,-,15.98,,5.38287,-1.00545,174682,0.5,0.38,34,3,187685,PGC,,,,,
20.4468,-18.28,Gxy,-,15.82,,5.35296,-0.319047,174683,0.68,0.58,65.5,3,187364,PGC,,,,,
20.4605,-17.4835,Gxy,-,15.96,,5.35654,-0.305145,174684,0.83,0.32,122,3,187410,PGC,,,,,
20.463,-25.9341,Gxy,-,15.89,,5.3572,-0.452636,174685,,,35,3,187428,PGC,,,,,
20.4728,-23.1194,Gxy,-,15.77,,5.35977,-0.40351,174686,0.87,0.48,6.5,3,187463,PGC,,,,,
20.3692,-5.89591,Gxy,-,15.71,,5.33264,-0.102903,174687,0.89,0.32,66,3,187159,PGC,,,,,
23.0007,-15.5307,Gxy,-,15.65,,6.02158,-0.271062,174688,,,,3,3093861,PGC,,,,,
20.3694,-18.1368,Gxy,-,15.72,,5.33268,-0.316547,174689,0.74,0.51,135,3,187161,PGC,,,,,
20.3698,-7.86061,Gxy,-,15.84,,5.3328,-0.137194,174690,0.69,0.35,99,3,187165,PGC,,,,,
5.81861,-16.164,Gxy,-,15.62,,1.52331,-0.282115,174691,,,,3,3093915,PGC,,,,,
20.3545,-3.75814,Gxy,-,15.35,,5.3288,-0.0655919,174692,0.87,0.59,21,3,187007,PGC,,,,,
20.3641,-15.1476,Gxy,-,15.57,,5.33132,-0.264376,174693,0.71,0.37,167.4,3,187132,PGC,,,,,
20.2274,-55.2253,Gxy,-,15.22,,5.29552,-0.963862,174694,0.76,0.51,66,3,186760,PGC,,,,,
20.2333,-13.2291,Gxy,-,15.52,,5.29708,-0.230891,174695,0.76,0.46,146.5,3,186766,PGC,,,,,
20.2777,-14.1506,Gxy,-,15.85,,5.30869,-0.246974,174696,0.55,0.39,77.9,3,186788,PGC,,,,,
20.28,-44.6383,Gxy,-,15.51,,5.30928,-0.779086,174697,0.81,0.48,141,3,186794,PGC,,,,,
5.66096,-17.6472,Gxy,-,15.95,,1.48204,-0.308002,174698,,,,3,3093992,PGC,,,,,
20.1821,-49.6119,Gxy,-,15.97,,5.28367,-0.865891,174699,0.58,0.38,177.5,3,186688,PGC,,,,,
20.1928,-41.9589,Gxy,-,15.67,,5.28646,-0.732321,174700,0.76,0.48,163,3,186705,PGC,,,,,
19.9587,-31.9564,Gxy,-,15.95,,5.22518,-0.557743,174701,0.52,0.4,,3,186581,PGC,,,,,
19.8432,-39.4761,Gxy,-,15.32,,5.19495,-0.688988,174702,,,20,3,185814,PGC,,,,,
19.4287,-48.1215,Gxy,-,15.81,,5.08643,-0.839879,174703,0.76,0.55,136.3,3,185664,PGC,,,,,
19.5086,-45.2657,Gxy,-,15.99,,5.10735,-0.790035,174704,0.6,0.39,77.5,3,185688,PGC,,,,,
12.7878,-18.5542,Gxy,-,15.71,,3.34783,-0.323832,174705,,,45,3,3094110,PGC,,,,,
18.9286,-46.7807,Gxy,-,14.5,,4.95551,-0.816476,174706,,,65,3,185524,PGC,,,,,
18.9546,-42.2814,Gxy,-,15.83,,4.9623,-0.737949,174707,0.52,0.42,178,3,185533,PGC,,,,,
18.9604,-48.9524,Gxy,-,15.61,,4.96382,-0.854381,174708,0.72,0.55,,3,185535,PGC,,,,,
19.0986,-53.4959,Gxy,-,15.82,,4.99999,-0.933679,174709,0.71,0.26,93.5,3,185549,PGC,,,,,
19.1434,-61.9036,Gxy,-,15.33,,5.01174,-1.08042,174710,,,115,3,185558,PGC,,,,,
19.2358,-27.6511,Gxy,-,15.1,,5.03593,-0.482602,174711,1.2,0.25,120.7,3,185580,PGC,,,,,
19.2767,-60.0887,Gxy,-,15.47,,5.04664,-1.04875,174712,,,15,3,185611,PGC,,,,,
16.4003,0.79096,Gxy,-,15.85,,4.29358,0.0138049,174713,0.81,0.59,72.5,3,185258,PGC,,,,,
16.5453,-2.47964,Gxy,-,15.98,,4.33156,-0.0432779,174714,0.59,0.5,92.5,3,185287,PGC,,,,,
12.8013,-19.4445,Gxy,-,15.96,,3.35137,-0.33937,174715,,,,3,3094235,PGC,,,,,
15.8512,-7.44275,Gxy,-,15.73,,4.14984,-0.129901,174716,0.85,0.49,8.5,3,185167,PGC,,,,,
21.7091,-18.857,Gxy,-,15.42,,5.68343,-0.329117,174717,,,,3,3094272,PGC,,,,,
15.9517,-12.675,Gxy,-,15.81,,4.17615,-0.221221,174718,,,50,3,185198,PGC,,,,,
15.8257,-19.6531,Gxy,-,15.8,,4.14315,-0.343011,174719,0.66,0.21,82,3,185154,PGC,,,,,
5.98006,-20.5306,Gxy,-,15.73,,1.56558,-0.358326,174720,,,,3,3094346,PGC,,,,,
15.5398,-6.76468,Gxy,-,15.84,,4.0683,-0.118066,174721,0.59,0.54,,3,185072,PGC,,,,,
15.5442,-17.6026,Gxy,-,15.43,,4.06945,-0.307223,174722,0.79,0.66,32,3,185076,PGC,,,,,
12.746,-20.4853,Gxy,-,15.64,,3.33689,-0.357536,174723,,,,3,3094379,PGC,,,,,
15.5549,-10.6948,Gxy,-,15.84,,4.07226,-0.186659,174724,0.78,0.33,68.5,3,185097,PGC,,,,,
15.0196,-13.7753,Gxy,-,15.97,,3.93213,-0.240424,174725,0.54,0.3,58.5,3,184864,PGC,,,,,
15.0291,-3.92168,Gxy,-,15.9,,3.93461,-0.0684462,174726,0.65,0.38,170.6,3,184872,PGC,,,,,
15.2756,-9.01425,Gxy,-,15.98,,3.99913,-0.157328,174727,0.74,0.35,172.5,3,184942,PGC,,,,,
14.9683,-15.4358,Gxy,-,15.89,,3.91869,-0.269405,174728,0.65,0.57,137,3,184837,PGC,,,,,
14.5713,-6.87695,Gxy,-,15.77,,3.81477,-0.120025,174729,0.69,0.52,103,3,184736,PGC,,,,,
14.6933,-34.5043,Gxy,-,15.8,,3.8467,-0.602214,174730,0.65,0.53,146.4,3,184789,PGC,,,,,
14.5343,-8.98637,Gxy,-,15.68,,3.80506,-0.156842,174731,0.69,0.38,49.5,3,184688,PGC,,,,,
14.542,-13.6572,Gxy,-,15.82,,3.80709,-0.238363,174732,0.72,0.3,17.5,3,184707,PGC,,,,,
14.271,-4.34586,Gxy,-,15.96,,3.73615,-0.0758496,174733,0.59,0.23,143.3,3,184602,PGC,,,,,
14.2717,-7.68225,Gxy,-,15.96,,3.73632,-0.134081,174734,0.85,0.22,164.8,3,184604,PGC,,,,,
14.2795,-45.4085,Gxy,-,15.53,,3.73838,-0.792528,174735,0.68,0.44,157,3,184610,PGC,,,,,
14.4385,-14.7152,Gxy,-,15.61,,3.77999,-0.256828,174736,0.78,0.44,33,3,184619,PGC,,,,,
14.4447,-18.3796,Gxy,-,15.61,,3.78162,-0.320784,174737,0.69,0.67,,3,184629,PGC,,,,,
14.4451,-5.97329,Gxy,-,15.69,,3.78172,-0.104254,174738,0.62,0.47,157.6,3,184630,PGC,,,,,
14.495,-3.87312,Gxy,-,15.51,,3.79478,-0.0675987,174739,0.91,0.59,29.3,3,184642,PGC,,,,,
14.2402,-19.5297,Gxy,-,15.85,,3.72807,-0.340858,174740,1,0.32,73.3,3,184557,PGC,,,,,
14.2484,-23.4173,Gxy,-,15.79,,3.73023,-0.408709,174741,0.65,0.25,111.5,3,184574,PGC,,,,,
14.2688,-4.37497,Gxy,-,15.4,,3.73555,-0.0763576,174742,0.85,0.41,91.7,3,184597,PGC,,,,,
14.1372,-12.1069,Gxy,-,15.84,,3.70112,-0.211306,174743,0.46,0.39,27,3,184454,PGC,,,,,
14.1834,-37.0661,Gxy,-,15.87,,3.71321,-0.646926,174744,0.79,0.29,153.5,3,184467,PGC,,,,,
14.186,-27.8813,Gxy,-,15.99,,3.7139,-0.486621,174745,0.83,0.46,143,3,184480,PGC,,,,,
14.1884,-32.8964,Gxy,-,15.75,,3.71452,-0.574151,174746,0.62,0.4,102,3,184497,PGC,,,,,
14.1908,-29.6359,Gxy,-,15.84,,3.71513,-0.517243,174747,0.66,0.36,176,3,184508,PGC,,,,,
14.1923,-30.1816,Gxy,-,15.74,,3.71553,-0.526768,174748,,,165,3,184522,PGC,,,,,
14.1952,-30.2324,Gxy,-,15.17,,3.71628,-0.527656,174749,,,55,3,184531,PGC,,,,,
14.1036,-13.2481,Gxy,-,15.92,,3.69232,-0.231222,174750,0.59,0.38,178,3,184382,PGC,,,,,
14.1039,-7.20384,Gxy,-,15.98,,3.69239,-0.125731,174751,0.56,0.48,132.5,3,184383,PGC,,,,,
14.1175,-14.3714,Gxy,-,15.79,,3.69596,-0.250829,174752,,,160,3,184396,PGC,,,,,
14.1189,-12.5171,Gxy,-,15.83,,3.69633,-0.218465,174753,0.83,0.64,85.5,3,184398,PGC,,,,,
16.3461,18.5649,Gxy,-,15.72,,4.27939,0.324019,174754,0.44,0.43,,3,3094722,PGC,,,,,
13.925,-4.25517,Gxy,-,15.9,,3.64557,-0.0742667,174755,0.59,0.37,122.3,3,184268,PGC,,,,,
13.9261,-40.0167,Gxy,-,15.57,,3.64585,-0.698422,174756,0.6,0.55,,3,184270,PGC,,,,,
13.9718,-30.4672,Gxy,-,15.84,,3.65782,-0.531753,174757,0.56,0.36,109.3,3,184308,PGC,,,,,
13.973,-29.0014,Gxy,-,15.61,,3.65811,-0.506169,174758,0.71,0.36,50.7,3,184313,PGC,,,,,
13.8469,-23.0514,Gxy,-,15.65,,3.62511,-0.402323,174759,0.71,0.46,55.5,3,184200,PGC,,,,,
13.8503,-19.9358,Gxy,-,15.7,,3.62601,-0.347945,174760,0.69,0.56,37,3,184207,PGC,,,,,
13.902,-37.1463,Gxy,-,15.56,,3.63954,-0.648325,174761,,,45,3,184210,PGC,,,,,
13.9073,-33.249,Gxy,-,15.58,,3.64092,-0.580305,174762,0.69,0.48,103.5,3,184228,PGC,,,,,
13.9198,-40.9054,Gxy,-,15.83,,3.64418,-0.713935,174763,0.83,0.47,174,3,184254,PGC,,,,,
13.7722,-3.42805,Gxy,-,15.23,,3.60556,-0.0598308,174764,1.17,0.5,4.6,3,184124,PGC,,,,,
13.7889,-14.1341,Gxy,-,15.83,,3.60994,-0.246687,174765,0.63,0.42,63.3,3,184136,PGC,,,,,
13.5872,-35.3865,Gxy,-,15.26,,3.55712,-0.617612,174766,,,60,3,183963,PGC,,,,,
13.5878,-40.6083,Gxy,-,15.69,,3.55728,-0.708749,174767,,,85,3,183970,PGC,,,,,
13.7332,-20.0141,Gxy,-,15.91,,3.59535,-0.349312,174768,0.74,0.34,53.5,3,184050,PGC,,,,,
13.7371,-20.2824,Gxy,-,15.99,,3.59637,-0.353995,174769,0.65,0.47,117.9,3,184056,PGC,,,,,
13.4612,-43.605,Gxy,-,15.67,,3.52413,-0.761051,174770,0.63,0.49,2.5,3,183716,PGC,,,,,
13.4676,-27.9147,Gxy,-,15.64,,3.5258,-0.487203,174771,0.76,0.65,109,3,183752,PGC,,,,,
13.4693,-34.0403,Gxy,-,14.88,,3.52625,-0.594115,174772,1.02,0.85,148.5,3,183757,PGC,,,,,
13.4782,-38.3588,Gxy,-,15.38,,3.5286,-0.669487,174773,0.76,0.58,99.5,3,183803,PGC,,,,,
13.4791,-28.0303,Gxy,-,15.74,,3.52883,-0.489222,174774,0.59,0.53,96,3,183807,PGC,,,,,
13.5058,-37.7345,Gxy,-,15.95,,3.5358,-0.658591,174775,0.59,0.47,112.8,3,183900,PGC,,,,,
13.1633,-24.8577,Gxy,-,15.66,,3.44614,-0.433849,174776,0.95,0.56,58,3,183588,PGC,,,,,
13.2502,-13.2711,Gxy,-,15.86,,3.4689,-0.231624,174777,1.07,0.66,77,3,183601,PGC,,,,,
13.2556,-9.55375,Gxy,-,15.73,,3.47031,-0.166744,174778,0.87,0.32,97.5,3,183617,PGC,,,,,
13.2615,-13.2864,Gxy,-,15.23,,3.47185,-0.231891,174779,1,0.51,150,3,183635,PGC,,,,,
13.2998,-37.4311,Gxy,-,15.96,,3.48187,-0.653295,174780,0.79,0.4,69,3,183640,PGC,,,,,
13.3057,-16.922,Gxy,-,15.86,,3.48342,-0.295344,174781,0.79,0.22,129.5,3,183649,PGC,,,,,
13.1486,-22.6508,Gxy,-,15.93,,3.44229,-0.395331,174782,0.78,0.29,84.1,3,183562,PGC,,,,,
13.1511,-17.353,Gxy,-,15.81,,3.44296,-0.302866,174783,0.71,0.39,94.7,3,183567,PGC,,,,,
12.9847,-18.1268,Gxy,-,15.65,,3.39938,-0.316372,174784,0.59,0.49,148.2,3,183480,PGC,,,,,
13.0478,-46.8482,Gxy,-,15.77,,3.4159,-0.817655,174785,0.56,0.42,86.8,3,183493,PGC,,,,,
13.0524,-37.7347,Gxy,-,15.49,,3.41712,-0.658595,174786,0.98,0.33,86.5,3,183498,PGC,,,,,
13.0588,-32.7813,Gxy,-,14.77,,3.41879,-0.572142,174787,0.91,0.6,118,3,183509,PGC,,,,,
12.8848,-11.8819,Gxy,-,15.72,,3.37324,-0.207377,174788,1.02,0.21,100.3,3,183412,PGC,,,,,
12.9074,-3.93445,Gxy,-,15.81,,3.37915,-0.0686691,174789,0.63,0.56,14,3,183425,PGC,,,,,
12.9121,-16.5008,Gxy,-,15.56,,3.38038,-0.287994,174790,1.1,0.48,148.5,3,183436,PGC,,,,,
12.8721,-11.6275,Gxy,-,15.9,,3.3699,-0.202938,174791,0.68,0.38,148.5,3,183367,PGC,,,,,
12.8731,-13.106,Gxy,-,15.76,,3.37016,-0.228743,174792,0.69,0.48,150,3,183372,PGC,,,,,
12.8755,-5.90003,Gxy,-,15.73,,3.37079,-0.102975,174793,0.91,0.35,124.5,3,183381,PGC,,,,,
12.8845,-10.3658,Gxy,-,15.81,,3.37315,-0.180917,174794,0.66,0.32,87,3,183408,PGC,,,,,
12.8251,-10.8956,Gxy,-,15.67,,3.35761,-0.190164,174795,0.66,0.35,8.5,3,183309,PGC,,,,,
12.8269,-24.6406,Gxy,-,15.45,,3.35808,-0.43006,174796,0.78,0.63,130,3,183313,PGC,,,,,
12.8282,-12.3474,Gxy,-,15.56,,3.35841,-0.215502,174797,1,0.26,41.7,3,183321,PGC,,,,,
12.8285,-10.7999,Gxy,-,15.55,,3.35848,-0.188494,174798,1.07,0.35,110.3,3,183322,PGC,,,,,
12.8291,-2.97402,Gxy,-,15.92,,3.35864,-0.0519064,174799,0.62,0.54,,3,183325,PGC,,,,,
12.8644,-16.9585,Gxy,-,15.45,,3.36789,-0.295983,174800,0.71,0.55,17.5,3,183337,PGC,,,,,
12.8681,-9.33302,Gxy,-,15.76,,3.36885,-0.162892,174801,0.66,0.47,108.5,3,183350,PGC,,,,,
12.8693,-17.1516,Gxy,-,15.84,,3.36916,-0.299352,174802,0.87,0.36,71,3,183353,PGC,,,,,
12.7907,-10.3997,Gxy,-,15.76,,3.34861,-0.18151,174803,0.95,0.19,5.5,3,183273,PGC,,,,,
12.8167,-19.3273,Gxy,-,15.77,,3.35541,-0.337324,174804,,,150,3,183283,PGC,,,,,
12.5512,-32.887,Gxy,-,15.38,,3.28589,-0.573986,174805,0.81,0.47,174.5,3,183203,PGC,,,,,
12.5527,-32.8685,Gxy,-,15.24,,3.2863,-0.573664,174806,,,40,3,183207,PGC,,,,,
12.6362,-37.2578,Gxy,-,15.85,,3.30815,-0.650271,174807,0.76,0.44,80.5,3,183231,PGC,,,,,
12.7829,-5.89756,Gxy,-,15.6,,3.34654,-0.102932,174808,0.81,0.48,18.5,3,183260,PGC,,,,,
12.2022,-32.4104,Gxy,-,15.94,,3.19454,-0.565669,174809,,,65,3,183089,PGC,,,,,
12.2051,-44.2783,Gxy,-,15.7,,3.19529,-0.772801,174810,0.66,0.42,67.5,3,183094,PGC,,,,,
12.4514,-9.68466,Gxy,-,15.66,,3.25977,-0.169029,174811,0.63,0.35,5,3,183114,PGC,,,,,
12.4515,-10.3127,Gxy,-,15.87,,3.25979,-0.179991,174812,0.72,0.52,125.3,3,183115,PGC,,,,,
12.4569,-14.4743,Gxy,-,15.89,,3.2612,-0.252625,174813,0.76,0.23,25.3,3,183120,PGC,,,,,
12.1746,-20.9825,Gxy,-,15.47,,3.18731,-0.366214,174814,0.65,0.44,99.5,3,183052,PGC,,,,,
11.8652,-10.112,Gxy,-,15.76,,3.10629,-0.176488,174815,,,120,3,182867,PGC,,,,,
11.868,-4.71674,Gxy,-,15.25,,3.10704,-0.0823226,174816,1.07,0.5,53,3,182871,PGC,,,,,
11.87,-20.4721,Gxy,-,15.99,,3.10755,-0.357305,174817,0.63,0.38,34.5,3,182875,PGC,,,,,
11.8729,-4.65443,Gxy,-,15.78,,3.10833,-0.0812351,174818,0.83,0.25,174.3,3,182882,PGC,,,,,
11.8837,-6.06485,Gxy,-,15.93,,3.11114,-0.105852,174819,0.56,0.49,140,3,182888,PGC,,,,,
11.8958,-5.42678,Gxy,-,15.84,,3.1143,-0.0947152,174820,,,40,3,182907,PGC,,,,,
11.5504,-19.3236,Gxy,-,15.65,,3.02388,-0.33726,174821,0.72,0.5,74.8,3,182783,PGC,,,,,
11.5929,-15.6227,Gxy,-,15.89,,3.03501,-0.272668,174822,0.6,0.38,175,3,182805,PGC,,,,,
11.6046,-25.315,Gxy,-,15.62,,3.03809,-0.44183,174823,0.85,0.42,134,3,182841,PGC,,,,,
11.6059,-5.82236,Gxy,-,15.77,,3.03842,-0.101619,174824,0.63,0.59,,3,182844,PGC,,,,,
11.5393,-12.2528,Gxy,-,15.73,,3.02097,-0.213853,174825,0.56,0.35,29.5,3,182737,PGC,,,,,
11.5429,-33.7659,Gxy,-,15.38,,3.02192,-0.589327,174826,0.95,0.52,145,3,182753,PGC,,,,,
11.5446,-33.6318,Gxy,-,15.6,,3.02236,-0.586986,174827,0.63,0.48,15,3,182762,PGC,,,,,
11.5463,-16.3232,Gxy,-,15.46,,3.02282,-0.284894,174828,0.76,0.41,7,3,182768,PGC,,,,,
11.5358,-37.2581,Gxy,-,15.76,,3.02006,-0.650276,174829,0.79,0.59,175.1,3,182712,PGC,,,,,
11.4366,-20.5189,Gxy,-,15.96,,2.9941,-0.358122,174830,,,0,3,182657,PGC,,,,,
11.5292,-21.5164,Gxy,-,15.83,,3.01834,-0.375531,174831,0.58,0.49,164.9,3,182686,PGC,,,,,
11.5298,-4.61781,Gxy,-,15.76,,3.01851,-0.080596,174832,0.59,0.36,134,3,182688,PGC,,,,,
11.3289,-21.9707,Gxy,-,15.95,,2.96589,-0.383461,174833,0.59,0.4,47.5,3,182591,PGC,,,,,
11.3296,-23.3566,Gxy,-,15.22,,2.96608,-0.40765,174834,,,125,3,182593,PGC,,,,,
11.3411,-43.9874,Gxy,-,15.39,,2.96908,-0.767724,174835,0.83,0.63,2.4,3,182595,PGC,,,,,
11.2053,-14.5133,Gxy,-,15.82,,2.93354,-0.253306,174836,0.69,0.48,173.4,3,182508,PGC,,,,,
11.2775,-5.63583,Gxy,-,15.85,,2.95244,-0.0983638,174837,0.76,0.32,160,3,182548,PGC,,,,,
10.6881,-17.8625,Gxy,-,15.98,,2.79813,-0.311759,174838,,,140,3,182286,PGC,,,,,
